No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
3265,M3265,,,,,,,,                                ,
3266,M3266,,,,,,,,                                ,
3267,M3267,,,,,,,,                                ,
3268,M3268,,,,,,,,                                ,
3269,M3269,,,,,,,,                                ,
3270,M3270,,,,,,,,                                ,
3271,M3271,,,,,,,,                                ,
3272,M3272,,,,,,,,                                ,
3273,M3273,,,,,,,,                                ,
3274,M3274,,,,,,,,                                ,
3275,M3275,,,,,,,,                                ,
3276,M3276,,,,,,,,                                ,
3277,M3277,,,,,,,,                                ,
3278,M3278,,,,,,,,                                ,
3279,M3279,,,,,,,,                                ,
3280,M3280,,,,,,,,                                ,
3281,M3281,,,,,,,,                                ,
3282,M3282,,,,,,,,                                ,
3283,M3283,,,,,,,,                                ,
3284,M3284,,,,,,,,                                ,
3285,M3285,,,,,,,,                                ,
3286,M3286,,,,,,,,                                ,
3287,M3287,,,,,,,,                                ,
3288,M3288,,,,,,,,                                ,
3289,M3289,,,,,,,,                                ,
3290,M3290,,,,,,,,                                ,
3291,M3291,,,,,,,,                                ,
3292,M3292,,,,,,,,                                ,
3293,M3293,,,,,,,,                                ,
3294,M3294,,,,,,,,                                ,
3295,M3295,,,,,,,,                                ,
3296,M3296,,,,,,,,                                ,
3297,M3297,,,,,,,,                                ,
3298,M3298,,,,,,,,                                ,
3299,M3299,,,,,,,,                                ,
3300,M3300,,一時停止,,,,,一時停止解除,一時停止解除,
3301,M3301,,一時停止,,,,,ライン　一時停止解除遅延,ライン　一時停止解除遅延,
3302,M3302,,一時停止,,,,,一時停止釦，Key オン,一時停止釦，Key オン,
3303,M3303,,一時停止,,,,,一時停止復帰工程,一時停止復帰工程,
3304,M3304,,一時停止,,,,,一時停止復帰可,一時停止復帰可,
3305,M3305,,一時停止,,,,,一時停止復帰時　警報作動,一時停止復帰時　警報作動,
3306,M3306,,一時停止,,,,,一時停止復帰時　警報停止,一時停止復帰時　警報停止,
3307,M3307,,一時停止,,,,,,                                ,
3308,M3308,,一時停止,,,,,,                                ,
3309,M3309,,一時停止,,,,,,                                ,
3310,M3310,,警報,警報,造型ﾗｲﾝ,枠送り中,,,警報    造型ﾗｲﾝ 枠送り中        ,
3311,M3311,,警報,警報,注湯ﾗｲﾝ,枠送り中,,,警報    注湯ﾗｲﾝ 枠送り中        ,
3312,M3312,,警報,警報,型交換,作業中,,,警報    型交換  作業中          ,
3313,M3313,,警報,警報,造型,作業中,,,警報    造型    作業中          ,
3314,M3314,,警報,警報,製品回収,故障連絡,,,警報    製品回収故障連絡        ,
3315,M3315,,警報,警報,,,,,警報                            ,
3316,M3316,,警報,警報,掛け堰,作業中,,,警報    掛け堰  作業中          ,
3317,M3317,,警報,警報,砂処理,故障中,,,警報    砂処理  故障中          ,
3318,M3318,,警報,警報,砂切れ中,,,,警報    砂切れ中                ,
3319,M3319,,警報,警報,故障中,,,,警報    故障中                  ,
3320,M3320,,警報,警報,中子待ち,,,,警報    中子待ち                ,
3321,M3321,,警報,警報,注湯待ち,,,,警報    注湯待ち                ,
3322,M3322,,警報,警報,造型枠数,確認中,,,警報    造型枠数確認中          ,
3323,M3323,,警報,警報,型交換,起動,,,警報    型交換  起動            ,
3324,M3324,,警報,警報,起動,停止解除,,,警報    起動    停止解除        ,
3325,M3325,,警報,警報,,,,,警報                            ,
3326,M3326,,警報,警報,,,,,警報                            ,
3327,M3327,,警報,警報,,,,,警報                            ,
3328,M3328,,警報,警報,,,,,警報                            ,
3329,M3329,,警報,警報,,,,,警報                            ,
3330,M3330,,警報,警報,,,,警報音　ＯＦＦ,警報音　ＯＦＦ,
3331,M3331,,警報,警報,,,,警報音　確認スル,警報音　確認スル,
3332,M3332,,警報,警報,,,,警報音　確認オフ後消音,警報音　確認オフ後消音,
3333,M3333,,警報,警報,,,,警報音　確認可,警報音　確認可,
3334,M3334,,警報,警報,,,,警報停止,警報停止,
3335,M3335,,警報,警報,,,,,警報                            ,
3336,M3336,,警報,警報,,,,,警報                            ,
3337,M3337,,警報,警報,,,,,警報                            ,
3338,M3338,,警報,警報,,,,,警報                            ,
3339,M3339,,警報,警報,,,,,警報                            ,
3340,M3340,,警報,警報,工程中,造型ﾗｲﾝ,枠送り中,,警報    工程中  造型ﾗｲﾝ 枠送り中,
